episode,epsilon,episode_reward,avg_loss,win,replay_size,global_step
262.0,0.7642,-15.0,0.10217462078883098,1.0,1000.0,5250.0
263.0,0.7633,-30.0,0.09587451865275701,0.0,1000.0,5280.0
264.0,0.7624,-30.0,0.0972900206844012,0.0,1000.0,5310.0
265.0,0.7615,-11.0,0.0846804715692997,0.0,1000.0,5312.0
266.0,0.7605999999999999,-30.0,0.09822654947638512,0.0,1000.0,5342.0
267.0,0.7597,-8.0,0.10659202305894148,1.0,1000.0,5361.0
268.0,0.7587999999999999,-30.0,0.11294896900653839,0.0,1000.0,5391.0
269.0,0.7579,-17.0,0.10987184436193534,1.0,1000.0,5419.0
270.0,0.757,-30.0,0.11225928788383802,0.0,1000.0,5449.0
271.0,0.7561,-30.0,0.10941872174541155,0.0,1000.0,5479.0
272.0,0.7552,-14.0,0.09882548987865448,1.0,1000.0,5504.0
273.0,0.7543,-5.0,0.09906200785189867,1.0,1000.0,5520.0
274.0,0.7534,-12.0,0.10472017008325328,1.0,1000.0,5543.0
275.0,0.7525,-3.0,0.09114164007561547,1.0,1000.0,5557.0
276.0,0.7515999999999999,-3.0,0.0854144138949258,1.0,1000.0,5571.0
277.0,0.7506999999999999,-3.0,0.09199501254728862,1.0,1000.0,5585.0
278.0,0.7498,-3.0,0.0933406443468162,1.0,1000.0,5599.0
279.0,0.7488999999999999,-30.0,0.10069097702701886,0.0,1000.0,5629.0
280.0,0.748,-4.0,0.09145494724313417,1.0,1000.0,5644.0
281.0,0.7471,-14.0,0.08335998386144639,1.0,1000.0,5669.0
282.0,0.7462,-13.0,0.09164460717389981,1.0,1000.0,5693.0
283.0,0.7453000000000001,-10.0,0.09581933986572992,1.0,1000.0,5714.0
284.0,0.7444,-19.0,0.09051574170589446,0.0,1000.0,5724.0
285.0,0.7435,-19.0,0.09204843925933043,1.0,1000.0,5754.0
286.0,0.7426,-8.0,0.0868316039835152,1.0,1000.0,5773.0
287.0,0.7417,-19.0,0.07804390986760458,1.0,1000.0,5803.0
288.0,0.7408,-30.0,0.08282593476275603,0.0,1000.0,5833.0
289.0,0.7399,-17.0,0.08632941517446723,1.0,1000.0,5861.0
290.0,0.739,-30.0,0.08016801650325457,0.0,1000.0,5891.0
291.0,0.7381,-17.0,0.08191312397164958,1.0,1000.0,5919.0
292.0,0.7372000000000001,-6.0,0.08210439366452835,1.0,1000.0,5936.0
293.0,0.7363,-16.0,0.0823502794460014,1.0,1000.0,5963.0
294.0,0.7354,-4.0,0.08852579419811567,1.0,1000.0,5978.0
295.0,0.7344999999999999,-30.0,0.09300125613808632,0.0,1000.0,6008.0
296.0,0.7336,-11.0,0.06507059559226036,0.0,1000.0,6010.0
297.0,0.7327,-30.0,0.09054577983915806,0.0,1000.0,6040.0
298.0,0.7318,-7.0,0.0863608502679401,1.0,1000.0,6058.0
299.0,0.7309,-18.0,0.08708489891783945,1.0,1000.0,6087.0
300.0,0.73,-5.0,0.0890449769794941,1.0,1000.0,6103.0
301.0,0.7291000000000001,-13.0,0.08642653003334999,0.0,1000.0,6107.0
302.0,0.7282,-30.0,0.07820327393710613,0.0,1000.0,6137.0
303.0,0.7273000000000001,-11.0,0.07249265164136887,0.0,1000.0,6139.0
304.0,0.7263999999999999,-9.0,0.07602918036282062,1.0,1000.0,6159.0
305.0,0.7255,-14.0,0.08975732862949372,1.0,1000.0,6184.0
306.0,0.7246,-5.0,0.0754855889827013,1.0,1000.0,6200.0
307.0,0.7237,-5.0,0.08197076944634318,1.0,1000.0,6216.0
308.0,0.7228,-24.0,0.0813426730533441,0.0,1000.0,6231.0
309.0,0.7219,-10.0,0.07330933106797081,1.0,1000.0,6252.0
310.0,0.721,-30.0,0.07819908261299133,0.0,1000.0,6282.0
